t_index    term            df        
1          aam             1         
2          aang            1         
3          aaron           5         
4          abagnal         1         
5          abandon         17        
6          abandond        1         
7          abba            2         
8          abbi            4         
9          abdel           1         
10         abduct          14        
11         abel            1         
12         abernathi       3         
13         abhor           2         
14         abigail         1         
15         abil            31        
16         abilen          1         
17         abin            1         
18         abject          1         
19         abl             46        
20         abnorm          1         
21         aboard          8         
22         abod            1         
23         abolitionist    2         
24         abomin          1         
25         aborigin        1         
26         abort           4         
27         abov            13        
28         abraham         2         
29         abramovich      1         
30         abrupt          1         
31         abruptli        3         
32         abscond         1         
33         absenc          6         
34         absent          1         
35         absolut         8         
36         abu             2         
37         abund           1         
38         abus            16        
39         abyssinia       1         
40         acacircuit      1         
41         academ          2         
42         academi         4         
43         academicallygift 1         
44         acamag          1         
45         acceler         1         
46         accent          1         
47         accept          32        
48         access          8         
49         accid           42        
50         accident        24        
51         acclaim         3         
52         accommod        2         
53         accompani       9         
54         accomplic       2         
55         accomplish      8         
56         accord          2         
57         account         15        
58         accuraci        1         
59         accus           17        
60         ace             4         
61         acerb           1         
62         acheron         1         
63         achiev          15        
64         achil           1         
65         aciman          1         
66         acquaint        8         
67         acquir          5         
68         acquisit        1         
69         acquit          2         
70         acrimoni        1         
71         acrobat         1         
72         acronym         1         
73         acrophobia      1         
74         action          44        
75         actionadventur  1         
76         actiondrama     1         
77         actionpack      1         
78         actionthril     1         
79         actionwar       1         
80         activ           16        
81         activist        5         
82         activityinclud  1         
83         actor           14        
84         actress         13        
85         actual          31        
86         ad              15        
87         ada             1         
88         adaa            1         
89         adam            22        
90         adamfelicia     1         
91         adapt           17        
92         add             3         
93         addam           2         
94         addi            1         
95         addict          11        
96         addison         1         
97         addit           10        
98         address         6         
99         ade             1         
100        adeli           1         
101        adenoid         1         
102        adequ           1         
103        adhd            1         
104        adjust          4         
105        adl             1         
106        adler           1         
107        administ        1         
108        administr       5         
109        admir           7         
110        admit           12        
111        ado             1         
112        adolesc         14        
113        adolf           1         
114        adoni           1         
115        adopt           22        
116        ador            9         
117        adrenalin       1         
118        adrian          1         
119        adrift          2         
120        adult           16        
121        adulter         1         
122        adulthood       4         
123        advanc          20        
124        advantag        10        
125        adventur        48        
126        adventureseek   1         
127        advers          1         
128        adversari       1         
129        advertis        10        
130        advic           12        
131        advis           12        
132        advisor         4         
133        advoc           1         
134        aegean          1         
135        aeronaut        1         
136        aether          1         
137        affair          34        
138        affairth        1         
139        affect          19        
140        affection       1         
141        affin           2         
142        affleck         1         
143        afflict         1         
144        afford          5         
145        afghan          2         
146        afghanistan     3         
147        aficionado      1         
148        afloat          1         
149        afoul           2         
150        afraid          4         
151        africa          9         
152        african         7         
153        africanamerican 3         
154        afroamerican    1         
155        afterlif        1         
156        aftermath       3         
157        afternoon       3         
158        afterparti      1         
159        afterschool     1         
160        afterward       3         
161        againand        2         
162        againbut        1         
163        agatha          2         
164        agda            1         
165        age             53        
166        ageless         1         
167        agenc           19        
168        agenda          10        
169        agent           90        
170        aggress         1         
171        agn             2         
172        agnew           1         
173        agrabah         1         
174        agre            36        
175        agreement       3         
176        agricultur      2         
177        agron           1         
178        aguilar         1         
179        agustin         1         
180        ahchoo          1         
181        ahern           1         
182        ahkmenrah       1         
183        ahmad           2         
184        ahsoka          1         
185        ai              1         
186        aibileen        1         
187        aid             27        
188        ail             2         
189        aileen          1         
190        aim             5         
191        ainsi           1         
192        aint            2         
193        air             18        
194        aircraft        3         
195        airlin          2         
196        airplan         3         
197        airport         8         
198        airship         1         
199        aisanc          1         
200        aisl            1         
201        aka             8         
202        akin            3         
203        akita           1         
204        al              7         
205        ala             1         
206        alabama         6         
207        aladdin         1         
208        aladeen         1         
209        alagaesia       1         
210        alan            9         
211        alanadal        1         
212        alarm           1         
213        alaska          7         
214        alba            1         
215        albanian        1         
216        albeit          4         
217        albert          5         
218        alberto         1         
219        album           1         
220        albuquerqu      1         
221        alcatraz        1         
222        alcohol         13        
223        alcott          1         
224        aldo            1         
225        aldou           1         
226        alec            1         
227        alert           1         
228        alex            13        
229        alexand         4         
230        alexandra       1         
231        alexei          1         
232        alfalfa         1         
233        alfr            3         
234        alfredo         1         
235        algren          1         
236        ali             2         
237        aliasghar       1         
238        alibi           2         
239        alic            8         
240        alicia          1         
241        alien           41        
242        alienseek       1         
243        align           1         
244        alik            1         
245        alimoni         1         
246        alison          2         
247        aliv            16        
248        allamerican     1         
249        allan           1         
250        alldevour       1         
251        alleg           2         
252        allegedli       2         
253        allegi          2         
254        allen           1         
255        allevi          3         
256        allexpensepaid  1         
257        alley           1         
258        allgirl         2         
259        alli            21        
260        allianc         11        
261        allig           1         
262        allimport       1         
263        allison         2         
264        allmal          1         
265        alloc           1         
266        allout          3         
267        allpaid         1         
268        allpow          1         
269        allspark        1         
270        alltoobrief     1         
271        allur           4         
272        alma            4         
273        alon            46        
274        alongsid        9         
275        alonzo          1         
276        alotta          1         
277        aloud           1         
278        alp             1         
279        alpha           3         
280        alqaeda         1         
281        alreadi         21        
282        alshabazz       1         
283        alsohimself     1         
284        altar           3         
285        alter           12        
286        alterego        2         
287        altern          12        
288        altman          1         
289        altogeth        1         
290        alvi            1         
291        alvin           1         
292        alwalid         1         
293        alway           41        
294        alyssa          1         
295        alzheim         3         
296        amadeu          1         
297        amanda          7         
298        amass           4         
299        amateur         3         
300        amaz            9         
301        amazon          4         
302        ambassador      3         
303        amber           2         
304        ambit           6         
305        ambiti          16        
306        ambros          1         
307        ambul           1         
308        ambush          3         
309        amelia          3         
310        amend           1         
311        america         37        
312        american        68        
313        amerika         1         
314        ami             7         
315        amiabl          1         
316        amidala         3         
317        amigo           1         
318        amira           1         
319        amish           1         
320        amistad         1         
321        amiti           1         
322        amityvil        1         
323        amli            1         
324        amman           1         
325        amnesia         2         
326        amok            1         
327        amor            2         
328        amoureus        1         
329        amphibian       1         
330        amplifi         1         
331        amsterdam       2         
332        amus            8         
333        ana             2         
334        anaconda        1         
335        anakin          4         
336        analys          1         
337        analysi         1         
338        analyst         4         
339        analyz          2         
340        anastasia       3         
341        anatoli         1         
342        ancestor        4         
343        anchor          2         
344        ancient         21        
345        anderson        6         
346        anderton        1         
347        andi            8         
348        andmous         1         
349        andor           2         
350        andr            1         
351        andrea          4         
352        andreiv         1         
353        andrew          6         
354        android         4         
355        anduin          1         
356        angel           44        
357        angela          3         
358        angeleno        1         
359        angelesbas      1         
360        angelina        1         
361        angeliqu        1         
362        angelov         1         
363        anger           6         
364        angi            1         
365        angier          1         
366        angl            1         
367        anglerfish      1         
368        angri           9         
369        angrili         1         
370        angst           1         
371        ani             76        
372        anim            32        
373        animos          1         
374        aniston         2         
375        anita           1         
376        ann             9         
377        anna            14        
378        annabel         1         
379        annabella       1         
380        annabeth        1         
381        annal           1         
382        annella         1         
383        annett          2         
384        anni            8         
385        annihil         7         
386        anniversari     2         
387        announc         11        
