t_indexterm           df 
1      aam            1  
2      aaron          1  
3      abagnal        1  
4      abandon        7  
5      abandond       1  
6      abba           2  
7      abbi           1  
8      abduct         4  
9      abernathi      1  
10     abil           8  
11     abilen         1  
12     abl            9  
13     aboard         4  
14     abod           1  
15     aborigin       1  
16     abort          2  
17     abraham        1  
18     abramovich     1  
19     abroad         1  
20     abrupt         1  
21     abruptli       2  
22     abscond        1  
23     absenc         3  
24     absolut        5  
25     abus           6  
26     academi        2  
27     acceler        1  
28     accept         2  
29     access         5  
30     accid          20 
31     accident       11 
32     acclaim        3  
33     accompani      2  
34     accomplish     1  
35     accord         1  
36     account        6  
37     accus          7  
38     ace            3  
39     acerb          1  
40     achiev         1  
41     aciman         1  
42     acquaint       2  
43     acquir         1  
44     acquisit       1  
45     acrophobia     1  
46     across         11 
47     act            10 
48     action         10 
49     actionadventur 1  
50     actionthril    1  
51     actionwar      1  
52     activ          6  
53     activist       2  
54     activityinclud 1  
55     actor          10 
56     actress        6  
57     actual         5  
58     ad             7  
59     ada            1  
60     adam           15 
61     adamfelicia    1  
62     adapt          14 
63     add            1  
64     addam          2  
65     addi           1  
66     addict         1  
67     addit          1  
68     address        2  
69     adenoid        1  
70     adjust         1  
71     adl            1  
72     administr      2  
73     admir          1  
74     admit          2  
75     adolesc        6  
76     adolf          1  
77     adoni          1  
78     adopt          8  
79     ador           4  
80     adored!        1  
81     adrenalin      1  
82     adrian         1  
83     adult          8  
84     adulthood      1  
85     advanc         7  
86     advantage!     1  
87     adventur       21 
88     advertis       6  
89     advic          3  
90     advis          1  
91     aegean         1  
92     aeronaut       1  
93     affair         13 
94     affairth       1  
95     affect         2  
96     affection      1  
97     affin          1  
98     affleck        1  
99     afford         1  
100    aficionado     1  
101    afoul          1  
102    africa         5  
103    african        4  
104    africanamerican1  
105    afroamerican   1  
106    aftermath      1  
107    agatha         1  
108    agda           1  
109    age            25 
110    ageless        1  
111    agenc          8  
112    agent          46 
113    ago            17 
114    agrabah        1  
115    agre           8  
116    agricultur     1  
117    aguilar        1  
118    ahead          1  
119    ahead:         1  
120    ahmad          2  
121    ahsoka         1  
122    aid            9  
123    ail            1  
124    aileen         1  
125    aim            2  
126    air            8  
127    aircraft       1  
128    airplan        1  
129    airport        5  
130    airship        1  
131    aka            1  
132    al             6  
133    alabama        3  
134    aladdin        1  
135    aladeen        1  
136    alagaesia      1  
137    alan           6  
138    alanadal       1  
139    alaska         5  
140    alba           1  
141    albeit         1  
142    albert         4  
143    album          1  
144    albuquerqu     1  
145    alcohol        5  
146    alcott         1  
147    aldo           1  
148    alex           8  
149    alexand        1  
150    alfalfa        1  
151    alfr           3  
152    alfredo        1  
153    algren         1  
154    ali            1  
155    alic           6  
156    alicia         1  
157    alien          22 
158    alienseek      1  
159    alison         2  
160    aliv           3  
161    all:           1  
162    allan          1  
163    alleg          1  
164    allegedli      1  
165    allen          1  
166    allevi         1  
167    alley          1  
168    allgirl        1  
169    alli           13 
170    allianc        5  
171    allison        1  
172    allmal         1  
173    alloc          1  
174    allow          6  
175    allpaid        1  
176    allpow         1  
177    allspark       1  
178    allur          2  
179    alma           1  
180    almost         10 
181    alon           14 
182    along          31 
183    alongsid       2  
184    alp            1  
185    alpha          1  
186    alreadi        4  
187    also           20 
188    altar          2  
189    alter          3  
190    alterego       1  
191    altern         2  
192    although       7  
193    altman         1  
194    alvi           1  
195    alvin          1  
196    alway          13 
197    alyssa         1  
198    alzheim        2  
199    amadeu         1  
200    amanda         3  
201    amass          2  
202    amateur        1  
203    amaz           3  
204    amazon         4  
205    ambassador     1  
206    ambit          3  
