39
t_index   tf-idf    
287       0.003
677       0.129
806       0.071
1271      0.137
1403      0.123
2240      0.137
2338      0.085
2414      0.099
2541      0.111
2564      0.107
3173      0.146
3278      0.137
3568      0.104
3655      0.605
3793      0.091
3849      0.1
3907      0.118
4025      0.089
4094      0.085
4518      0.118
4684      0.088
4731      0.06
4762      0.118
5373      0.114
5811      0.137
5868      0.318
5881      0.223
6110      0.129
6301      0.137
6436      0.114
6584      0.151
6635      0.151
6680      0.052
6681      0.099
6981      0.217
7291      0.151
7391      0.104
7686      0.096
7837      0.05
