tt0105695
movie_id       cosine_similarity   
tt0105112      0.447223            
tt1204975      0.000354            
tt0243655      0.430083            
tt0040897      0.032058            
tt0126886      0.135744            
tt0286716      0.196356            
tt0090605      0.222476            
tt0243155      0.074666            
tt0121765      0.263850            
tt0443453      0.215824            
tt0107131      0.140620            
tt0110364      0.209275            
tt0450259      0.340961            
tt0143145      0.366866            
tt0435625      0.009820            
tt0343818      0.026832            
tt0120815      0.310858            
tt0253754      0.232452            
tt1951264      0.265972            
tt0118849      0.037612            
tt0120783      0.021140            
tt0114814      0.252828            
tt0101700      0.414055            
tt0377092      0.086918            
tt0102768      0.198306            
tt1259521      0.004576            
tt2084970      0.005733            
tt0108399      0.114223            
tt0017136      0.423313            
tt2356777      0.136080            
tt0215750      0.055293            
tt0082096      0.346376            
tt0408985      0.000000            
tt0107822      0.229396            
tt1120985      0.067910            
tt0018455      0.251430            
tt0499448      0.238229            
tt0133152      0.206774            
tt1289401      0.000000            
tt2101441      0.128206            
tt0475784      0.221190            
tt1536537      0.119376            
tt0113957      0.000000            
tt0100507      0.112861            
tt0302886      0.134481            
tt0460681      0.143356            
tt3011894      0.175334            
tt0114319      0.086038            
tt3748528      0.169680            
tt0107207      0.294185            
tt0120363      0.156728            
tt0109707      0.238158            
tt0103893      0.118295            
tt1217209      0.008820            
tt0116126      0.395895            
tt0140352      0.289351            
tt0406375      0.157435            
tt0120794      0.178054            
tt3659388      0.268907            
tt0160127      0.161508            
tt0103772      0.396949            
tt0099810      0.000000            
tt0116705      0.483645            
tt0298148      0.260896            
tt0351283      0.195468            
tt0102744      0.149321            
tt1298650      0.037432            
tt1187064      0.369062            
tt0149261      0.035916            
tt0106977      0.118585            
tt0452594      0.140444            
tt2660888      0.112110            
tt0103064      0.349577            
tt0959337      0.047442            
tt0295700      0.148584            
tt0107048      0.384211            
tt0416320      0.403529            
tt0353969      0.387776            
tt0405159      0.042753            
tt1781769      0.082759            
tt0337741      0.165915            
tt0120828      0.119892            
tt0120903      0.316777            
tt0232500      0.033673            
tt0113442      0.052130            
tt0396171      0.118784            
tt0458352      0.144873            
tt1392190      0.226078            
tt0458339      0.416763            
tt0110322      0.195850            
tt0324216      0.164298            
tt0382625      0.165473            
tt0101545      0.338199            
tt0360486      0.357120            
tt0129290      0.147483            
tt1228705      0.004312            
tt1430132      0.140721            
tt0133093      0.309696            
tt0103241      0.341495            
tt0230011      0.052871            
tt0887912      0.019275            
tt0376994      0.352780            
tt0101889      0.156143            
tt0106582      0.306583            
tt1591095      0.174674            
tt5439796      0.316888            
tt0408236      0.196964            
tt0117218      0.064788            
tt1355644      0.200494            
tt5580390      0.246248            
tt0461770      0.278760            
tt0038650      0.136282            
tt0234215      0.032477            
tt1091191      0.013430            
tt0117666      0.390517            
tt0765429      0.350535            
tt0116996      0.279722            
tt0319061      0.145201            
tt0050783      0.135355            
tt0118749      0.390352            
tt0340855      0.145442            
tt0046912      0.082017            
tt2262227      0.236520            
tt0107362      0.265553            
tt0369436      0.016784            
tt1673434      0.338094            
tt0469494      0.201259            
tt5247022      0.203971            
tt2089750      0.065495            
tt0087544      0.273994            
tt1663662      0.038259            
tt0109045      0.379676            
tt0418832      0.299582            
tt1860357      0.264918            
tt0389860      0.233942            
tt0184858      0.436775            
tt0104990      0.034849            
tt2042568      0.219766            
tt0241527      0.322912            
tt0285742      0.304742            
tt1496422      0.138960            
tt0120744      0.490773            
tt1840309      0.199872            
tt0119396      0.003016            
tt0988045      0.048989            
tt0253867      0.109686            
tt0130236      0.035280            
tt0138704      0.136956            
tt2543472      0.035905            
tt0102057      0.169816            
tt2239822      0.302320            
tt0398808      0.010522            
tt1172570      0.073909            
tt0416449      0.008800            
