235
t_index  tf-idf
19     0.0
68     0.027
100     0.025
108     0.023
111     0.021
122     0.023
164     0.055
165     0.046
201     0.019
212     0.047
260     0.032
261     0.035
264     0.03
302     0.041
307     0.095
309     0.062
353     0.05
354     0.035
398     0.071
407     0.022
415     0.03
423     0.03
465     0.016
490     0.032
522     0.023
525     0.025
534     0.053
540     0.026
580     0.035
588     0.051
626     0.03
661     0.08
664     0.021
667     0.021
688     0.069
703     0.022
705     0.032
722     0.026
733     0.021
736     0.071
757     0.018
764     0.045
770     0.034
774     0.035
789     0.035
807     0.03
823     0.025
848     0.013
876     0.038
890     0.044
893     0.017
897     0.035
939     0.03
959     0.03
964     0.03
974     0.071
1002     0.071
1020     0.023
1069     0.019
1073     0.024
1081     0.091
1083     0.051
1084     0.028
1112     0.017
1124     0.028
1148     0.035
1161     0.066
1201     0.026
1243     0.028
1256     0.067
1273     0.027
1290     0.014
1336     0.015
1338     0.021
1365     0.06
1416     0.018
1421     0.096
1424     0.02
1431     0.026
1439     0.04
1454     0.031
1460     0.025
1528     0.359
1556     0.039
1565     0.32
1575     0.032
1597     0.018
1618     0.026
1661     0.026
1686     0.032
1718     0.03
1721     0.019
1761     0.032
1786     0.032
1843     0.146
1878     0.021
1894     0.045
1903     0.018
1906     0.035
1935     0.024
1946     0.025
1952     0.064
1963     0.044
1993     0.062
2017     0.023
2051     0.032
2052     0.035
2056     0.021
2093     0.026
2095     0.016
2099     0.166
2102     0.024
2107     0.02
2137     0.029
2165     0.022
2183     0.028
2189     0.049
2192     0.032
2224     0.028
2226     0.039
2252     0.035
2282     0.027
2283     0.047
2284     0.082
2288     0.032
2302     0.026
2303     0.03
2309     0.12
2311     0.096
2316     0.028
2321     0.044
2378     0.032
2388     0.02
2389     0.044
2390     0.035
2421     0.09
2423     0.035
2478     0.017
2484     0.017
2491     0.048
2496     0.02
2518     0.036
2521     0.014
2522     0.026
2523     0.05
2527     0.026
2529     0.023
2546     0.035
2576     0.024
2585     0.026
2587     0.043
2597     0.025
2608     0.064
2655     0.032
2685     0.055
2699     0.054
2714     0.014
2737     0.028
2742     0.023
2753     0.019
2794     0.028
2827     0.062
2835     0.036
2838     0.03
2841     0.096
2846     0.034
2847     0.041
2857     0.072
2881     0.027
2883     0.032
2885     0.025
2892     0.028
2893     0.06
2924     0.062
2935     0.032
2948     0.027
2950     0.022
2959     0.026
2961     0.024
3019     0.035
3026     0.045
3033     0.071
3039     0.055
3047     0.037
3081     0.013
3102     0.055
3132     0.027
3181     0.068
3184     0.024
3201     0.036
3206     0.025
3215     0.071
3222     0.02
3227     0.035
3235     0.03
3253     0.027
3257     0.024
3265     0.044
3321     0.067
3337     0.032
3351     0.026
3352     0.046
3353     0.026
3379     0.499
3381     0.179
3447     0.014
3449     0.021
3451     0.016
3470     0.032
3475     0.035
3490     0.033
3528     0.023
3546     0.035
3568     0.035
3618     0.02
3634     0.02
3635     0.021
3640     0.018
3643     0.021
3644     0.053
3645     0.09
3649     0.177
3663     0.04
3667     0.021
3696     0.021
3698     0.021
3718     0.032
3720     0.02
3730     0.026
3731     0.025
3734     0.05
3740     0.057
3743     0.016
3749     0.19
3785     0.035
