(t_index)(term           )(df )
(1      )(aaron          )(1  )
(2      )(abandon        )(1  )
(3      )(abc            )(7  )
(4      )(abdulkarim     )(1  )
(5      )(abdullah       )(2  )
(6      )(abidjan        )(10 )
(7      )(abil           )(2  )
(8      )(abl            )(3  )
(9      )(aboard         )(13 )
(10     )(abort          )(2  )
(11     )(abroad         )(1  )
(12     )(abruptli       )(1  )
(13     )(absenc         )(1  )
(14     )(abus           )(3  )
(15     )(acceler        )(1  )
(16     )(accent         )(1  )
(17     )(accept         )(11 )
(18     )(accid          )(2  )
(19     )(accompani      )(3  )
(20     )(accord         )(12 )
(21     )(account        )(14 )
(22     )(accus          )(14 )
(23     )(acknowledg     )(6  )
(24     )(acquir         )(1  )
(25     )(acquitt        )(1  )
(26     )(across         )(10 )
(27     )(act            )(17 )
(28     )(action         )(6  )
(29     )(activ          )(9  )
(30     )(activist       )(5  )
(31     )(actual         )(2  )
(32     )(ad             )(3  )
(33     )(adapt          )(2  )
(34     )(address        )(5  )
(35     )(aden           )(32 )
(36     )(adjoin         )(2  )
(37     )(adjourn        )(2  )
(38     )(adjust         )(1  )
(39     )(adlai          )(1  )
(40     )(administr      )(8  )
(41     )(admir          )(7  )
(42     )(admit          )(3  )
(43     )(advanc         )(6  )
(44     )(advantag       )(1  )
(45     )(advic          )(1  )
(46     )(advis          )(7  )
(47     )(advisor        )(1  )
(48     )(advoc          )(1  )
(49     )(affabl         )(1  )
(50     )(affair         )(1  )
(51     )(affect         )(2  )
(52     )(afghanistan    )(5  )
(53     )(afloat         )(1  )
(54     )(africa         )(5  )
(55     )(african        )(13 )
(56     )(aft            )(1  )
(57     )(aftehock       )(1  )
(58     )(aftermath      )(1  )
(59     )(afternoon      )(5  )
(60     )(aftershock     )(6  )
(61     )(afterward      )(1  )
(62     )(agassi         )(21 )
(63     )(age            )(2  )
(64     )(agenc          )(11 )
(65     )(agenda         )(1  )
(66     )(agent          )(16 )
(67     )(ago            )(35 )
(68     )(agon           )(2  )
(69     )(agoni          )(1  )
(70     )(agre           )(5  )
(71     )(agreement      )(4  )
(72     )(agricultur     )(2  )
(73     )(aha            )(1  )
(74     )(ahead          )(2  )
(75     )(ahmedabad      )(1  )
(76     )(aid            )(10 )
(77     )(aim            )(3  )
(78     )(air            )(17 )
(79     )(aircraft       )(4  )
(80     )(airlift        )(1  )
(81     )(airlin         )(1  )
(82     )(airport        )(1  )
(83     )(al             )(17 )
(84     )(ala            )(2  )
(85     )(alan           )(2  )
(86     )(alarm          )(1  )
(87     )(alasan         )(1  )
(88     )(alassan        )(3  )
(89     )(alberto        )(41 )
(90     )(albright       )(9  )
(91     )(alert          )(8  )
(92     )(alex           )(2  )
(93     )(alexa          )(1  )
(94     )(ali            )(1  )
(95     )(aliryani       )(1  )
(96     )(alisan         )(1  )
(97     )(aliv           )(13 )
(98     )(alleg          )(7  )
(99     )(allegedli      )(5  )
(100    )(allen          )(8  )
(101    )(alley          )(1  )
(102    )(alli           )(8  )
(103    )(allianc        )(1  )
(104    )(alliz          )(1  )
(105    )(allow          )(4  )
(106    )(almost         )(8  )
(107    )(alon           )(1  )
(108    )(along          )(4  )
(109    )(alongsid       )(1  )
(110    )(alreadi        )(12 )
(111    )(alribat        )(1  )
(112    )(alshahrani     )(1  )
(113    )(also           )(19 )
(114    )(alter          )(2  )
(115    )(although       )(6  )
(116    )(altogeth       )(1  )
(117    )(alway          )(4  )
(118    )(amanda         )(1  )
(119    )(ambassador     )(4  )
(120    )(ambiti         )(2  )
(121    )(ambival        )(1  )
(122    )(ambul          )(1  )
(123    )(america        )(39 )
(124    )(american       )(115)
(125    )(amid           )(3  )
(126    )(among          )(12 )
(127    )(amput          )(1  )
(128    )(analyst        )(2  )
(129    )(ancestor       )(1  )
(130    )(anchor         )(1  )
(131    )(andoslavia     )(1  )
(132    )(andr           )(21 )
(133    )(andrea         )(3  )
(134    )(andrew         )(2  )
(135    )(anew           )(2  )
(136    )(anger          )(6  )
(137    )(angl           )(1  )
(138    )(angri          )(7  )
(139    )(anguish        )(1  )
(140    )(animos         )(1  )
(141    )(anjana         )(1  )
(142    )(anjay          )(1  )
(143    )(ank            )(1  )
(144    )(ankl           )(4  )
(145    )(anna           )(2  )
(146    )(anniversari    )(1  )
(147    )(announc        )(16 )
(148    )(annoy          )(1  )
