177
t_index  tf-idf
16     0.0
76     0.041
99     0.068
102     0.049
104     0.039
116     0.039
123     0.031
151     0.049
159     0.044
163     0.049
173     0.044
191     0.031
213     0.032
231     0.039
232     0.032
302     0.03
305     0.049
310     0.028
328     0.036
348     0.028
375     0.032
388     0.044
425     0.041
466     0.134
468     0.028
472     0.151
512     0.049
513     0.029
534     0.037
541     0.14
549     0.039
579     0.049
603     0.049
613     0.154
643     0.038
671     0.044
672     0.037
735     0.069
737     0.041
762     0.024
774     0.039
806     0.06
838     0.041
848     0.049
872     0.032
884     0.029
896     0.03
901     0.033
917     0.034
930     0.032
999     0.044
1108     0.068
1120     0.046
1133     0.037
1135     0.033
1159     0.031
1200     0.026
1208     0.021
1242     0.029
1273     0.041
1336     0.041
1407     0.041
1451     0.027
1460     0.025
1463     0.044
1490     0.031
1541     0.164
1545     0.041
1547     0.034
1578     0.044
1590     0.033
1609     0.039
1648     0.049
1683     0.108
1721     0.044
1735     0.049
1742     0.019
1745     0.075
1821     0.036
1838     0.032
1891     0.017
1907     0.219
1909     0.041
1912     0.037
1937     0.041
1940     0.024
1949     0.034
1951     0.033
1969     0.044
1980     0.03
1984     0.041
2011     0.056
2022     0.025
2104     0.049
2155     0.039
2182     0.061
2195     0.036
2199     0.041
2210     0.024
2302     0.032
2316     0.017
2334     0.039
2339     0.06
2387     0.098
2406     0.027
2407     0.149
2423     0.033
2431     0.032
2440     0.035
2462     0.075
2475     0.025
2503     0.023
2514     0.044
2525     0.038
2592     0.041
2614     0.135
2620     0.041
2623     0.028
2634     0.033
2654     0.054
2672     0.068
2689     0.194
2694     0.087
2734     0.019
2738     0.074
2751     0.049
2758     0.028
2774     0.026
2780     0.03
2794     0.044
2830     0.033
2861     0.027
2879     0.113
2882     0.017
2903     0.055
2907     0.084
2968     0.047
3021     0.194
3136     0.049
3138     0.031
3139     0.039
3144     0.049
3155     0.037
3175     0.072
3204     0.092
3225     0.025
3230     0.034
3267     0.044
3282     0.033
3290     0.04
3299     0.124
3342     0.051
3360     0.049
3376     0.144
3387     0.039
3394     0.06
3395     0.017
3404     0.512
3411     0.036
3412     0.044
3421     0.036
3439     0.02
3463     0.029
3475     0.041
3515     0.067
3588     0.021
3615     0.051
3616     0.041
3654     0.03
3670     0.036
3675     0.34
3688     0.03
3731     0.031
3743     0.023
3775     0.026
3790     0.019
3796     0.028
