tt0433035
movie_id       cosine_similarity   
tt0105112      0.367747            
tt1204975      0.015942            
tt0243655      0.282698            
tt0040897      0.050036            
tt0126886      0.080192            
tt0286716      0.209385            
tt0090605      0.131900            
tt0243155      0.132044            
tt0121765      0.209795            
tt0443453      0.183652            
tt0107131      0.097620            
tt0110364      0.130682            
tt0450259      0.229208            
tt0143145      0.212342            
tt0435625      0.095024            
tt0343818      0.091740            
tt0120815      0.272699            
tt0253754      0.169538            
tt1951264      0.243712            
tt0118849      0.024115            
tt0120783      0.037250            
tt0114814      0.166192            
tt0101700      0.302733            
tt0377092      0.112460            
tt0102768      0.182704            
tt1259521      0.015806            
tt2084970      0.000000            
tt0108399      0.134430            
tt0017136      0.277809            
tt2356777      0.111517            
tt0215750      0.103354            
tt0082096      0.208249            
tt0408985      0.033873            
tt0107822      0.235192            
tt1120985      0.147281            
tt0018455      0.176829            
tt0499448      0.138713            
tt0133152      0.150139            
tt1289401      0.000000            
tt2101441      0.096815            
tt0475784      0.259668            
tt1536537      0.140059            
tt0113957      0.057335            
tt0100507      0.178379            
tt0302886      0.107423            
tt0460681      0.141962            
tt3011894      0.177835            
tt0114319      0.055504            
tt3748528      0.122390            
tt0107207      0.241964            
tt0120363      0.182842            
tt0109707      0.148314            
tt0103893      0.131462            
tt1217209      0.042524            
tt0116126      0.295349            
tt0140352      0.226190            
tt0406375      0.129863            
tt0120794      0.099137            
tt3659388      0.208354            
tt0160127      0.095488            
tt0103772      0.288298            
tt0099810      0.038310            
tt0116705      0.332085            
tt0298148      0.197232            
tt0351283      0.170287            
tt0102744      0.165351            
tt1298650      0.107185            
tt1187064      0.254322            
tt0149261      0.050849            
tt0106977      0.110182            
tt0452594      0.155584            
tt2660888      0.073579            
tt0103064      0.220034            
tt0959337      0.113025            
tt0295700      0.094161            
tt0107048      0.336706            
tt0416320      0.318835            
tt0353969      0.239690            
tt0405159      0.188345            
tt1781769      0.100774            
tt0337741      0.118361            
tt0120828      0.146184            
tt0120903      0.187813            
tt0232500      0.008640            
tt0113442      0.075238            
tt0396171      0.112358            
tt0458352      0.141196            
tt1392190      0.187858            
tt0458339      0.292395            
tt0110322      0.100956            
tt0324216      0.086893            
tt0382625      0.125380            
tt0101545      0.236020            
tt0360486      0.344270            
tt0129290      0.135761            
tt1228705      0.012730            
tt1430132      0.227176            
tt0133093      0.200753            
tt0103241      0.233668            
tt0230011      0.224552            
tt0887912      0.067486            
tt0376994      0.239274            
tt0101889      0.137828            
tt0106582      0.221543            
tt1591095      0.128388            
tt5439796      0.257691            
tt0408236      0.214856            
tt0117218      0.043202            
tt1355644      0.122464            
tt5580390      0.141966            
tt0461770      0.205445            
tt0038650      0.208467            
tt0234215      0.069893            
tt1091191      0.020503            
tt0117666      0.265492            
tt0765429      0.219584            
tt0116996      0.213351            
tt0319061      0.199716            
tt0050783      0.163182            
tt0118749      0.318310            
tt0340855      0.083116            
tt0046912      0.192147            
tt2262227      0.196250            
tt0107362      0.210796            
tt0369436      0.071366            
tt1673434      0.270960            
tt0469494      0.168244            
tt5247022      0.223979            
tt2089750      0.141538            
tt0087544      0.178941            
tt1663662      0.042251            
tt0109045      0.223236            
tt0418832      0.244201            
tt1860357      0.167715            
tt0389860      0.291552            
tt0184858      0.274688            
tt0104990      0.005418            
tt2042568      0.190246            
tt0241527      0.327845            
tt0285742      0.181080            
tt1496422      0.057892            
tt0120744      0.327619            
tt1840309      0.163810            
tt0119396      0.122303            
tt0988045      0.047734            
tt0253867      0.182411            
tt0130236      0.010773            
tt0138704      0.177732            
tt2543472      0.087553            
